x,y
6.817131003376127,3.9150032345655434
8.84673958947967,1.5930084108615086
8.506225492885028,4.816554286243517
5.021545940698898,5.575304981663743
2.8584422180047606,5.361362204369237
2.5005338782120052,1.314273954866974
7.557080555722254,2.0416976859289213
3.011143433530357,5.980699930311998
3.1331617665704448,6.393961011206519
2.6428531083595774,6.155271994318646
2.1966873865983456,5.385761947916697
2.581821583584768,6.839207380669512
3.1222354487488797,0.8785191497661753
3.1688139737620946,5.922629510503686
2.6524030180541476,5.752662301225088
1.6292658457500302,1.6274161971437944
2.171274995304163,1.0034089770304095
1.4277570325920252,2.543678199147741
7.281268262921314,3.3935353372052046
6.300883420552155,2.579395982655391
8.523492525083245,2.955532263271636
1.9892022202096529,1.1538312568352795
8.423843342332226,4.15325489652632
8.06927182997832,2.8754582116863365
7.3116693077728385,2.6923555646161397
3.0768966215527866,5.630179769035966
2.048184167952821,3.9705936899882293
7.575599081911578,2.539345407484256
7.2114191629315645,3.4032372124142753
3.1366923505023534,5.852813330917857
2.022297752886444,6.57039874413791
1.647964410642413,2.104592461828873
7.328222526255379,2.520485883644782
8.3303451634205,2.5490203577568202
8.330747922578961,4.501436650046453
7.800828681216741,3.7772567607634846
7.170203076538835,2.8477290575331136
3.667137723639123,6.367344063382749
2.930531001723968,2.0081864488156698
1.846111228175102,2.24123787386689
1.2202546638181428,2.629667682993962
2.7848890475561356,5.114779273006664
8.270082129660162,2.670498427102026
2.9734984217009623,7.43564629081423
3.217263069756299,4.978601139343752
8.207778001377186,2.276546699916473
9.218499261815726,3.431128034947727
2.4900902981547857,6.951213224886041
7.9083681237979055,3.9902530495787696
1.9756565180029735,7.403835345587492
3.3266022045715777,4.6379331166097275
2.1819679476833036,3.0457142034259426
2.2862298882786267,2.4486276210945874
1.8785719239715333,2.470653765187661
3.577337651234588,5.096758583026217
2.934279057285945,6.893836665270502
3.2048237874511005,6.786152787156411
1.8415888796670048,4.240955234703934
7.609915020742005,2.653953449744303
1.8335021997141798,1.6055992522729337
8.296916698697046,2.5168118506273434
7.440219593605931,3.1711839285873777
7.479485944702539,2.610299692988243
8.038817302355861,2.33523990687117
1.150157029019116,2.378873944508145
2.6328255576344377,1.2724900361642089
3.182315235793213,1.5853838253810821
0.4649830277607667,1.9787888996406264
7.339602242565991,2.742891326677605
8.248726052478403,4.180284973559642
2.663850546323314,5.7745723129115945
